fact,fact_index,person_name,src_context,tgt_contexts,gpt-4o_intersection_label,language,source_file
חומוס פול מוגש עם פול מבושל,82,Hummus,['חומוס פול מוגש עם פול מבושל'],"['Hummus is served as an accompaniment to grilled chicken.', 'Hummus is served as an accompaniment to falafel.']",no,he,annotation_2025-02-28_Hummus.json
"כמו כן יש מלומדים הסבורים כי המתכון המופיע בתלמוד הבבלי בו מתואר 'מקפה של גריסים' – קטניות המושרות במים וטחונות, מתייחס למעשה לחומוס.",35,Hummus,"[""כמו כן יש מלומדים הסבורים כי המתכון המופיע בתלמוד הבבלי בו מתואר 'מקפה של גריסים' – קטניות המושרות במים וטחונות, מתייחס למעשה לחומוס.""]","[""A purée of chickpeas and tahini called hummus kasa appears in Muhammad bin Hasan al-Baghdadi's The Book of Dishes."", 'One survey found that 41% of Britons had hummus in their fridge, twice as many as the rest of Europe.']",no,he,annotation_2025-02-28_Hummus.json
"In Provence, there is a dish called poichichade.",82,Hummus,"['In Provence, there is a dish called poichichade.']","[""מסעדה המגישה מנות חומוס נקראת 'חומוסייה'."", 'לעיתים מנת חומוס בצלחת היא גם ארוחת בוקר']",no,en,annotation_2025-02-28_Hummus.json
החומוס מוגש כממרח,2,Hummus,['החומוס מוגש כממרח'],"['Hummus is served as part of a meze.', 'Hummus is served as an accompaniment to fish.']",yes,he,annotation_2025-02-28_Hummus.json
"The 2005 short film West Bank Story features a rivalry between two fictional restaurants, the Israeli 'Kosher King' and the Palestinian 'Hummus Hut'.",135,Hummus,"[""The 2005 short film West Bank Story features a rivalry between two fictional restaurants, the Israeli 'Kosher King' and the Palestinian 'Hummus Hut'.""]","['בשנים 2009–2010, נאבקו חומוסיות מהכפר אבו גוש בחומוסיות מלבנון על תואר צלחת החומוס הגדולה בעולם.', 'בתקופה העבאסית במצרים מתואר ה""חומוס בי טחיני"" – שילוב של הגרגרים הטחונים עם הטחינה.']",no,en,annotation_2025-02-28_Hummus.json
פאדי עבוד טוען שישראל משתמשת בשם 'חומוס' בצורה לא חוקית,116,Hummus,"[""פאדי עבוד טוען שישראל משתמשת בשם 'חומוס' בצורה לא חוקית""]","[""Israel's critics describe hummus as an appropriation of Lebanese, Palestinian, or Arab culture."", ""Hummus is often seen as an unofficial 'national dish' of Israel.""]",no,he,annotation_2025-02-28_Hummus.json
"By 2016, an estimated 25% of US households were consuming hummus.",111,Hummus,"['By 2016, an estimated 25% of US households were consuming hummus.']","['משנת 2013 החל החומוס לצבור פופולריות בארצות הברית', 'במאי 2010 נקבע שיא גינס לצלחת החומוס הגדולה בעולם על ידי השף רמזי שווירי מלבנון.']",no,en,annotation_2025-02-28_Hummus.json
חומוס טחינה ידוע גם בשם חומוס בסגנון ישראלי,46,Hummus,['חומוס טחינה ידוע גם בשם חומוס בסגנון ישראלי'],"[""Hummus is often seen as an unofficial 'national dish' of Israel."", 'One variation of hummus includes fried eggplant and boiled eggs prepared by Iraqi Jews.']",no,he,annotation_2025-02-28_Hummus.json
נהוג להגיש את החומוס כשהוא מעוטר מלמעלה בפטרוזיליה קצוצה,78,Hummus,['נהוג להגיש את החומוס כשהוא מעוטר מלמעלה בפטרוזיליה קצוצה'],"['Hummus is usually garnished with parsley.', 'Hummus is usually garnished with paprika.']",yes,he,annotation_2025-02-28_Hummus.json
הברכה על הלחם פוטרת את הממרח מברכה,126,Hummus,['הברכה על הלחם פוטרת את הממרח מברכה'],"['The cookbook is attributed to the historian Ibn al-Adim.', 'As of 2021, Lebanon held the title from May 2010.']",no,he,annotation_2025-02-28_Hummus.json
"The standard garnish for hummus in the Middle East includes olive oil, a few whole chickpeas, parsley, and paprika.",4,Hummus,"['The standard garnish for hummus in the Middle East includes olive oil, a few whole chickpeas, parsley, and paprika.']","['בדרך כלל יש חור במרכז החומוס שבתוכו שמים את התבלינים ואת שמן הזית', 'חומוס עשוי מחומוס טחון, טחינה, שמן זית, מיץ לימון, שום ותבלינים.']",yes,en,annotation_2025-02-28_Hummus.json
The 'title' for the largest dish of hummus has gone back and forth between Israel and Lebanon.,143,Hummus,"[""The 'title' for the largest dish of hummus has gone back and forth between Israel and Lebanon.""]","['החיבור בין חומוס לבין היותו מאכל ישראלי תרם לעליית הנושא על סדר היום', 'בשנים 2009–2010, נאבקו חומוסיות מהכפר אבו גוש בחומוסיות מלבנון על תואר צלחת החומוס הגדולה בעולם.']",no,en,annotation_2025-02-28_Hummus.json
Hummus is a good to excellent source of several dietary minerals.,99,Hummus,['Hummus is a good to excellent source of several dietary minerals.'],"['חומוסייה שמה את מנות החומוס במרכז תפריטהּ.', 'החומוס הוא אחד המאכלים המזוהים עם האזור']",no,en,annotation_2025-02-28_Hummus.json
"In the United Kingdom, hummus was popularized by Greek Cypriot caterers.",78,Hummus,"['In the United Kingdom, hummus was popularized by Greek Cypriot caterers.']","['הדבר דומה לתקדים בחקיקה האירופית לגבי גבינת הפטה היוונית', 'החקיקה האירופית אישרה כי יוון היא ממציאת גבינת הפטה']",no,en,annotation_2025-02-28_Hummus.json
"בישראל קיימות מסעדות שבהן החומוס הוא המנה העיקרית, המכונות 'חומוסיות'.",42,Hummus,"[""בישראל קיימות מסעדות שבהן החומוס הוא המנה העיקרית, המכונות 'חומוסיות'.""]","[""Hummus is often seen as an unofficial 'national dish' of Israel."", ""Lebanon and Israel's chefs have been engaged in a competition over the largest dish of hummus.""]",no,he,annotation_2025-02-28_Hummus.json
The major British supermarkets use houmous.,24,Hummus,['The major British supermarkets use houmous.'],"['השימוש בחומוס במזרח התיכון קדום ביותר.', 'מנת חומוס בצלחת מוגשת על פי רוב במסעדות פועלים קטנות או במסעדות עממיות']",no,en,annotation_2025-02-28_Hummus.json
"American farmers harvested 25,000,000 pounds (11,000,000 kg) of chickpeas in 2009.",117,Hummus,"['American farmers harvested 25,000,000 pounds (11,000,000 kg) of chickpeas in 2009.']","['היקף גידולי החומוס בארצות הברית תופס כיום שטח של 498,000 דונם', 'ארוחה הכוללת צלחת חומוס בגודל המקובל להגיש במסעדות, בתוספת שתי פיתות יכולה להגיע לערך של 800–1,000 קלוריות.']",no,en,annotation_2025-02-28_Hummus.json
Israeli versions of hummus use large amounts of tahini for a creamier texture.,69,Hummus,['Israeli versions of hummus use large amounts of tahini for a creamier texture.'],"['הערך הקלורי של התוצר הסופי של חומוס בתוספת טחינה גדול יותר.', 'בהרבה מן המקרים המנה תכלול תוספות שונות']",no,en,annotation_2025-02-28_Hummus.json
"חומוס ""גרגרים"" – מוגש עם גרגרי חומוס חמים.",80,Hummus,"['חומוס ""גרגרים"" – מוגש עם גרגרי חומוס חמים.']","['Hummus is served as an accompaniment to grilled chicken.', 'Hummus is often served as a warm dish.']",no,he,annotation_2025-02-28_Hummus.json
במאי 2010 נקבע שיא גינס לצלחת החומוס הגדולה בעולם על ידי השף רמזי שווירי מלבנון.,107,Hummus,['במאי 2010 נקבע שיא גינס לצלחת החומוס הגדולה בעולם על ידי השף רמזי שווירי מלבנון.'],"['The winning dish in May 2010 was cooked by 300 cooks in the village of al-Fanar, near Beirut.', 'The competition is validated by the Guinness World Record.']",yes,he,annotation_2025-02-28_Hummus.json
בישראל תוספות מקובלות לחומוס הן כרובית,105,Hummus,['בישראל תוספות מקובלות לחומוס הן כרובית'],"['In Turkey, hummus is considered a meze.', 'Hummus is a common part of everyday meals in Israel.']",no,he,annotation_2025-02-28_Hummus.json
